Genes	monophyletic_group_code	Species
DILT_0001416701, DILT_0001454301	F13760_DPY_G1	D. latum
DILT_0001847801, DILT_0001418401	F13765_DPY_G1	D. latum
DILT_0001426901, DILT_0001912501	F13789_DPY_G1	D. latum
DILT_0001750801, DILT_0001431401	F13801_DPY_G1	D. latum
DILT_0001949601, DILT_0001457301	F13865_DPY_G1	D. latum
DILT_0001606101, DILT_0001457401	F13867_DPY_G1	D. latum
DILT_0001483801, DILT_0001581601	F13928_DPY_G1	D. latum
DILT_0001502501, DILT_0001489601	F13935_DPY_G1	D. latum
DILT_0001504401, DILT_0001657901	F13962_DPY_G1	D. latum
DILT_0001631301, DILT_0001512601	F13968_DPY_G1	D. latum
DILT_0001685601, DILT_0001521201	F13979_DPY_G1	D. latum
DILT_0001521401, DILT_0001589701	F13980_DPY_G1	D. latum
DILT_0001607301, DILT_0001525001	F13986_DPY_G1	D. latum
DILT_0001528501, DILT_0001985101	F13993_DPY_G1	D. latum
DILT_0001567501, DILT_0001555101	F14024_DPY_G1	D. latum
DILT_0001582901, DILT_0001924401	F14068_DPY_G1	D. latum
DILT_0001586201, DILT_0001980501	F14072_DPY_G1	D. latum
DILT_0001601501, DILT_0001895901	F14089_DPY_G1	D. latum
DILT_0001637201, DILT_0001745501	F14156_DPY_G1	D. latum
DILT_0001725501, DILT_0001640801	F14169_DPY_G1	D. latum
DILT_0001877001, DILT_0001696701	F14248_DPY_G1	D. latum
DILT_0001709201, DILT_0001795401	F14268_DPY_G1	D. latum
DILT_0001722401, DILT_0001722501	F14281_DPY_G1	D. latum
DILT_0001827501, DILT_0001739801	F14303_DPY_G1	D. latum
DILT_0001740501, DILT_0001805301	F14305_DPY_G1	D. latum
DILT_0001753901, DILT_0001944501	F14323_DPY_G1	D. latum
DILT_0001987101, DILT_0001781901	F14350_DPY_G1	D. latum
DILT_0001809701, DILT_0001786801	F14354_DPY_G1	D. latum
DILT_0001806901, DILT_0001976801	F14382_DPY_G1	D. latum
DILT_0001807701, DILT_0001869901	F14383_DPY_G1	D. latum
DILT_0001855701, DILT_0001911601	F14454_DPY_G1	D. latum
DILT_0001864601, DILT_0001949901	F14461_DPY_G1	D. latum
DILT_0001918701, DILT_0001999701	F14506_DPY_G1	D. latum
DILT_0000358501, DILT_0000558301	F23388_DPY_G1	D. latum
DILT_0000136801, DILT_0001526501	F23575_DPY_G1	D. latum
DILT_0000859401, DILT_0001238601	F23758_DPY_G1	D. latum
DILT_0001646401, DILT_0001366701	F23879_DPY_G1	D. latum
DILT_0000632501, DILT_0000747501	F24004_DPY_G1	D. latum
DILT_0001216801, DILT_0001531901	F24447_DPY_G1	D. latum
DILT_0001674601, DILT_0001425101	F24683_DPY_G1	D. latum
EcG7_10550, EcG7_10600	F13334_ECD_G1	E. canadensis
EcG7_07010, EcG7_04649, EcG7_02248, EcG7_09030, EcG7_05710, EcG7_10486, EcG7_04269, EcG7_08400, EcG7_09037, EcG7_09341, EcG7_00075, EcG7_03906	F14631_ECD_G1	E. canadensis
EcG7_00388, EcG7_00389	F14652_ECD_G1	E. canadensis
EcG7_05785, EcG7_00456	F14659_ECD_G1	E. canadensis
EcG7_04233, EcG7_03904, EcG7_09298, EcG7_09594, EcG7_00663, EcG7_02295	F14673_ECD_G1	E. canadensis
EcG7_09318, EcG7_01144	F14710_ECD_G1	E. canadensis
EcG7_01157, EcG7_01161	F14714_ECD_G1	E. canadensis
EcG7_01162, EcG7_01158	F14715_ECD_G1	E. canadensis
EcG7_08401, EcG7_02247, EcG7_05709, EcG7_09340, EcG7_04268, EcG7_08765, EcG7_10485	F15056_ECD_G1	E. canadensis
EcG7_07038, EcG7_03212	F15279_ECD_G1	E. canadensis
EcG7_07039, EcG7_03213	F15280_ECD_G1	E. canadensis
EcG7_06357, EcG7_03267, EcG7_10969, EcG7_09684	F15284_ECD_G1	E. canadensis
EcG7_03325, EcG7_07319, EcG7_09170, EcG7_10083	F15294_ECD_G1	E. canadensis
EcG7_03704, EcG7_07513	F15340_ECD_G1	E. canadensis
EcG7_04452, EcG7_08903, EcG7_08904	F15415_ECD_G1	E. canadensis
EcG7_05788, EcG7_11368, EcG7_11487, EcG7_11199, EcG7_11214, EcG7_11264, EcG7_11090, EcG7_11366, EcG7_11388, EcG7_11195	F15503_ECD_G1	E. canadensis
EcG7_11043, EcG7_05789, EcG7_11021, EcG7_11074	F15504_ECD_G1	E. canadensis
EcG7_09197, EcG7_06555	F15601_ECD_G1	E. canadensis
EcG7_09969, EcG7_09848, EcG7_09910, EcG7_09857, EcG7_06795, EcG7_09827, EcG7_09888	F15657_ECD_G1	E. canadensis
EcG7_06918, EcG7_06925	F15682_ECD_G1	E. canadensis
EcG7_07171, EcG7_08869	F15716_ECD_G1	E. canadensis
EcG7_10084, EcG7_07320, EcG7_09169	F15735_ECD_G1	E. canadensis
EcG7_07819, EcG7_09335	F15787_ECD_G1	E. canadensis
EcG7_07890, EcG7_09780	F15794_ECD_G1	E. canadensis
EcG7_08090, EcG7_09755	F15815_ECD_G1	E. canadensis
EcG7_08293, EcG7_09694	F15830_ECD_G1	E. canadensis
EcG7_10311, EcG7_10842, EcG7_09123, EcG7_08376, EcG7_10942	F15839_ECD_G1	E. canadensis
EcG7_08377, EcG7_10329, EcG7_09121, EcG7_11024	F15840_ECD_G1	E. canadensis
EcG7_08741, EcG7_08379	F15841_ECD_G1	E. canadensis
EcG7_08435, EcG7_09195	F15844_ECD_G1	E. canadensis
EcG7_09038, EcG7_08608	F15856_ECD_G1	E. canadensis
EcG7_10673, EcG7_09733, EcG7_10750, EcG7_10643, EcG7_10627, EcG7_08610	F15857_ECD_G1	E. canadensis
EcG7_10458, EcG7_08656	F15861_ECD_G1	E. canadensis
EcG7_08677, EcG7_11470, EcG7_09884	F15862_ECD_G1	E. canadensis
EcG7_08727, EcG7_11110	F15867_ECD_G1	E. canadensis
EcG7_08764, EcG7_09287	F15872_ECD_G1	E. canadensis
EcG7_08788, EcG7_09149	F15874_ECD_G1	E. canadensis
EcG7_08901, EcG7_10156	F16078_ECD_G1	E. canadensis
EcG7_09020, EcG7_10727	F16303_ECD_G1	E. canadensis
EcG7_09097, EcG7_11133, EcG7_10598, EcG7_11037	F16428_ECD_G1	E. canadensis
EcG7_11484, EcG7_09120, EcG7_10328	F16464_ECD_G1	E. canadensis
EcG7_09171, EcG7_09225	F16538_ECD_G1	E. canadensis
EcG7_09232, EcG7_09913	F16624_ECD_G1	E. canadensis
EcG7_09260, EcG7_10251	F16654_ECD_G1	E. canadensis
EcG7_09332, EcG7_09267	F16669_ECD_G1	E. canadensis
EcG7_09268, EcG7_09333	F16671_ECD_G1	E. canadensis
EcG7_09334, EcG7_10426, EcG7_09583, EcG7_10612, EcG7_09619, EcG7_09269	F16674_ECD_G1	E. canadensis
EcG7_09284, EcG7_09289	F16692_ECD_G1	E. canadensis
EcG7_09285, EcG7_09290, EcG7_10093	F16697_ECD_G1	E. canadensis
EcG7_09309, EcG7_11506, EcG7_11532	F16728_ECD_G1	E. canadensis
EcG7_10457, EcG7_11217, EcG7_09312	F16732_ECD_G1	E. canadensis
EcG7_10141, EcG7_09350	F16784_ECD_G1	E. canadensis
EcG7_11218, EcG7_11143, EcG7_09352, EcG7_11395	F16787_ECD_G1	E. canadensis
EcG7_10050, EcG7_10015, EcG7_10013, EcG7_09585, EcG7_09393	F16840_ECD_G1	E. canadensis
EcG7_10803, EcG7_10307, EcG7_10935, EcG7_09395, EcG7_10864, EcG7_10844	F16842_ECD_G1	E. canadensis
EcG7_09397, EcG7_11084, EcG7_11244, EcG7_11428	F16845_ECD_G1	E. canadensis
EcG7_09481, EcG7_11190, EcG7_09939	F16940_ECD_G1	E. canadensis
EcG7_09940, EcG7_09482	F16941_ECD_G1	E. canadensis
EcG7_09506, EcG7_10499	F16975_ECD_G1	E. canadensis
EcG7_09507, EcG7_09508	F16976_ECD_G1	E. canadensis
EcG7_09545, EcG7_09543	F17017_ECD_G1	E. canadensis
EcG7_09584, EcG7_09620	F17059_ECD_G1	E. canadensis
EcG7_10372, EcG7_09601, EcG7_10371	F17076_ECD_G1	E. canadensis
EcG7_11026, EcG7_09610	F17087_ECD_G1	E. canadensis
EcG7_09892, EcG7_09858, EcG7_09859, EcG7_09705, EcG7_09883, EcG7_09912, EcG7_09898, EcG7_09890	F17189_ECD_G1	E. canadensis
EcG7_10700, EcG7_09734	F17223_ECD_G1	E. canadensis
EcG7_11474, EcG7_09788	F17268_ECD_G1	E. canadensis
EcG7_09887, EcG7_09856, EcG7_09826, EcG7_09909, EcG7_09968, EcG7_09847	F17304_ECD_G1	E. canadensis
EcG7_10425, EcG7_09837, EcG7_10373	F17315_ECD_G1	E. canadensis
EcG7_10374, EcG7_10424, EcG7_09838, EcG7_10059	F17317_ECD_G1	E. canadensis
EcG7_10628, EcG7_09902, EcG7_10795	F17367_ECD_G1	E. canadensis
EcG7_11068, EcG7_10409, EcG7_10611, EcG7_11046, EcG7_09975, EcG7_10471	F17409_ECD_G1	E. canadensis
EcG7_10008, EcG7_09981	F17415_ECD_G1	E. canadensis
EcG7_10080, EcG7_10225, EcG7_10626, EcG7_09988, EcG7_10070, EcG7_10041, EcG7_09986, EcG7_10038	F17421_ECD_G1	E. canadensis
EcG7_10037, EcG7_09989, EcG7_10451, EcG7_09987, EcG7_10069, EcG7_10079, EcG7_10564, EcG7_10040	F17423_ECD_G1	E. canadensis
EcG7_10544, EcG7_09990	F17428_ECD_G1	E. canadensis
EcG7_09999, EcG7_10745	F17438_ECD_G1	E. canadensis
EcG7_11276, EcG7_10000	F17439_ECD_G1	E. canadensis
EcG7_10035, EcG7_10800	F17471_ECD_G1	E. canadensis
EcG7_11409, EcG7_11229, EcG7_10054	F17486_ECD_G1	E. canadensis
EcG7_11157, EcG7_10274, EcG7_11249, EcG7_10571, EcG7_11142, EcG7_10525, EcG7_10114	F17548_ECD_G1	E. canadensis
EcG7_11417, EcG7_10116	F17552_ECD_G1	E. canadensis
EcG7_11344, EcG7_11132, EcG7_10121	F17555_ECD_G1	E. canadensis
EcG7_10161, EcG7_10264, EcG7_11241, EcG7_11423, EcG7_10430, EcG7_11437, EcG7_10142, EcG7_10491	F17577_ECD_G1	E. canadensis
EcG7_10265, EcG7_10160, EcG7_10143	F17578_ECD_G1	E. canadensis
EcG7_10209, EcG7_10208	F17617_ECD_G1	E. canadensis
EcG7_10235, EcG7_10299	F17636_ECD_G1	E. canadensis
EcG7_10236, EcG7_11337, EcG7_10648, EcG7_10377, EcG7_10825, EcG7_11257, EcG7_10688	F17637_ECD_G1	E. canadensis
EcG7_10581, EcG7_10241	F17640_ECD_G1	E. canadensis
EcG7_10355, EcG7_10388, EcG7_10313, EcG7_10364	F17692_ECD_G1	E. canadensis
EcG7_10333, EcG7_10366, EcG7_10359, EcG7_10317, EcG7_10315, EcG7_10345	F17695_ECD_G1	E. canadensis
EcG7_10360, EcG7_10343	F17703_ECD_G1	E. canadensis
EcG7_10380, EcG7_10465	F17725_ECD_G1	E. canadensis
EcG7_11323, EcG7_11153, EcG7_10383	F17730_ECD_G1	E. canadensis
EcG7_10834, EcG7_10734, EcG7_10414	F17753_ECD_G1	E. canadensis
EcG7_10417, EcG7_10597, EcG7_11390, EcG7_10591	F17757_ECD_G1	E. canadensis
EcG7_11496, EcG7_10592, EcG7_11269, EcG7_10418, EcG7_11163, EcG7_11425	F17760_ECD_G1	E. canadensis
EcG7_10428, EcG7_10422	F17763_ECD_G1	E. canadensis
EcG7_10582, EcG7_10423	F17764_ECD_G1	E. canadensis
EcG7_10429, EcG7_10492	F17772_ECD_G1	E. canadensis
EcG7_10441, EcG7_10599, EcG7_10521	F17778_ECD_G1	E. canadensis
EcG7_10478, EcG7_10453	F17786_ECD_G1	E. canadensis
EcG7_11531, EcG7_11378, EcG7_11156, EcG7_10477, EcG7_11466, EcG7_10755, EcG7_11374, EcG7_11356, EcG7_11504, EcG7_11511, EcG7_10528, EcG7_11334, EcG7_11330, EcG7_11316, EcG7_11451, EcG7_11173, EcG7_11176, EcG7_11165, EcG7_11202, EcG7_10454, EcG7_11462, EcG7_11291	F17787_ECD_G1	E. canadensis
EcG7_11447, EcG7_10455	F17788_ECD_G1	E. canadensis
EcG7_10480, EcG7_11467, EcG7_11305, EcG7_10574	F17809_ECD_G1	E. canadensis
EcG7_11178, EcG7_10481, EcG7_11246, EcG7_10573	F17810_ECD_G1	E. canadensis
EcG7_11248, EcG7_10484, EcG7_11419	F17811_ECD_G1	E. canadensis
EcG7_10488, EcG7_11166, EcG7_11357, EcG7_11280, EcG7_11513, EcG7_11363, EcG7_11174	F17814_ECD_G1	E. canadensis
EcG7_10497, EcG7_10498	F17820_ECD_G1	E. canadensis
EcG7_10502, EcG7_10513, EcG7_10547	F17826_ECD_G1	E. canadensis
EcG7_10509, EcG7_10561	F17832_ECD_G1	E. canadensis
EcG7_10512, EcG7_10511	F17834_ECD_G1	E. canadensis
EcG7_10551, EcG7_10601	F17849_ECD_G1	E. canadensis
EcG7_10554, EcG7_10985	F17851_ECD_G1	E. canadensis
EcG7_10580, EcG7_11424, EcG7_11095	F17862_ECD_G1	E. canadensis
EcG7_10717, EcG7_10638, EcG7_10679, EcG7_10720, EcG7_10632	F17893_ECD_G1	E. canadensis
EcG7_11030, EcG7_10634, EcG7_10725, EcG7_10733, EcG7_10660, EcG7_10683	F17894_ECD_G1	E. canadensis
EcG7_10670, EcG7_10642	F17901_ECD_G1	E. canadensis
EcG7_10645, EcG7_11151	F17903_ECD_G1	E. canadensis
EcG7_11020, EcG7_11059, EcG7_10691, EcG7_10752, EcG7_10646, EcG7_10751, EcG7_10732, EcG7_10740	F17906_ECD_G1	E. canadensis
EcG7_10650, EcG7_10696	F17910_ECD_G1	E. canadensis
EcG7_10659, EcG7_10721, EcG7_10680, EcG7_10705, EcG7_10743, EcG7_10651	F17912_ECD_G1	E. canadensis
EcG7_10653, EcG7_10675	F17914_ECD_G1	E. canadensis
EcG7_10699, EcG7_10692	F17928_ECD_G1	E. canadensis
EcG7_11411, EcG7_10701, EcG7_11320, EcG7_11308	F17931_ECD_G1	E. canadensis
EcG7_10899, EcG7_10757	F17949_ECD_G1	E. canadensis
EcG7_10761, EcG7_10926, EcG7_10990, EcG7_10787, EcG7_10968, EcG7_11006, EcG7_10816, EcG7_10791	F17950_ECD_G1	E. canadensis
EcG7_10854, EcG7_10887, EcG7_10766, EcG7_10858	F17956_ECD_G1	E. canadensis
EcG7_10920, EcG7_10767, EcG7_10923, EcG7_10851, EcG7_10977	F17957_ECD_G1	E. canadensis
EcG7_10788, EcG7_10801	F17965_ECD_G1	E. canadensis
EcG7_10790, EcG7_10871	F17967_ECD_G1	E. canadensis
EcG7_10799, EcG7_10796, EcG7_10933, EcG7_10818, EcG7_10817, EcG7_10958, EcG7_10813, EcG7_11000	F17969_ECD_G1	E. canadensis
EcG7_10868, EcG7_11008, EcG7_10836	F17986_ECD_G1	E. canadensis
EcG7_10885, EcG7_10838	F17989_ECD_G1	E. canadensis
EcG7_11003, EcG7_11256, EcG7_10904, EcG7_10877, EcG7_10845, EcG7_11453, EcG7_11387, EcG7_11426	F17991_ECD_G1	E. canadensis
EcG7_10922, EcG7_10848, EcG7_10886, EcG7_10924	F17994_ECD_G1	E. canadensis
EcG7_10967, EcG7_10936, EcG7_10863, EcG7_10879, EcG7_10939	F18004_ECD_G1	E. canadensis
EcG7_10917, EcG7_10896	F18020_ECD_G1	E. canadensis
EcG7_10908, EcG7_10973	F18028_ECD_G1	E. canadensis
EcG7_11012, EcG7_10919, EcG7_10950	F18034_ECD_G1	E. canadensis
EcG7_11016, EcG7_11071	F18062_ECD_G1	E. canadensis
EcG7_11027, EcG7_11017	F18063_ECD_G1	E. canadensis
EcG7_11018, EcG7_11031, EcG7_11066	F18064_ECD_G1	E. canadensis
EcG7_11225, EcG7_11023, EcG7_11491	F18066_ECD_G1	E. canadensis
EcG7_11067, EcG7_11060	F18080_ECD_G1	E. canadensis
EcG7_11350, EcG7_11431, EcG7_11076	F18086_ECD_G1	E. canadensis
EcG7_11092, EcG7_11083	F18087_ECD_G1	E. canadensis
EcG7_11206, EcG7_11432, EcG7_11085, EcG7_11266	F18090_ECD_G1	E. canadensis
EcG7_11303, EcG7_11094	F18092_ECD_G1	E. canadensis
EcG7_11285, EcG7_11331, EcG7_11427, EcG7_11490, EcG7_11274, EcG7_11538, EcG7_11430, EcG7_11293, EcG7_11106, EcG7_11458, EcG7_11096, EcG7_11499, EcG7_11227	F18094_ECD_G1	E. canadensis
EcG7_11103, EcG7_11393, EcG7_11519	F18098_ECD_G1	E. canadensis
EcG7_11247, EcG7_11113, EcG7_11222, EcG7_11185, EcG7_11104	F18100_ECD_G1	E. canadensis
EcG7_11209, EcG7_11238, EcG7_11397, EcG7_11125, EcG7_11464, EcG7_11111, EcG7_11505, EcG7_11537, EcG7_11492	F18107_ECD_G1	E. canadensis
EcG7_11119, EcG7_11526, EcG7_11328, EcG7_11200, EcG7_11130	F18112_ECD_G1	E. canadensis
EcG7_11122, EcG7_11146, EcG7_11300, EcG7_11475	F18114_ECD_G1	E. canadensis
EcG7_11129, EcG7_11123	F18116_ECD_G1	E. canadensis
EcG7_11524, EcG7_11135, EcG7_11404, EcG7_11480, EcG7_11386	F18120_ECD_G1	E. canadensis
EcG7_11159, EcG7_11175	F18125_ECD_G1	E. canadensis
EcG7_11162, EcG7_11346, EcG7_11477	F18126_ECD_G1	E. canadensis
EcG7_11179, EcG7_11184, EcG7_11448, EcG7_11359, EcG7_11483, EcG7_11394, EcG7_11263, EcG7_11208, EcG7_11243, EcG7_11444	F18129_ECD_G1	E. canadensis
EcG7_11258, EcG7_11180, EcG7_11521	F18130_ECD_G1	E. canadensis
EcG7_11193, EcG7_11412, EcG7_11204, EcG7_11494, EcG7_11301	F18135_ECD_G1	E. canadensis
EcG7_11219, EcG7_11414, EcG7_11210, EcG7_11389, EcG7_11235, EcG7_11310	F18144_ECD_G1	E. canadensis
EcG7_11234, EcG7_11398	F18155_ECD_G1	E. canadensis
EcG7_11376, EcG7_11319, EcG7_11365, EcG7_11536, EcG7_11239, EcG7_11439	F18159_ECD_G1	E. canadensis
EcG7_11476, EcG7_11370, EcG7_11481, EcG7_11377, EcG7_11277, EcG7_11493, EcG7_11501, EcG7_11460, EcG7_11523	F18173_ECD_G1	E. canadensis
EcG7_11289, EcG7_11283	F18176_ECD_G1	E. canadensis
EcG7_11309, EcG7_11284	F18178_ECD_G1	E. canadensis
EcG7_11520, EcG7_11287	F18180_ECD_G1	E. canadensis
EcG7_11313, EcG7_11528, EcG7_11459, EcG7_11384	F18185_ECD_G1	E. canadensis
EcG7_11408, EcG7_11315	F18186_ECD_G1	E. canadensis
EcG7_11360, EcG7_11525, EcG7_11407	F18193_ECD_G1	E. canadensis
EcG7_11530, EcG7_11488	F18225_ECD_G1	E. canadensis
EcG7_10115, EcG7_10273	F23231_ECD_G1	E. canadensis
EgrG_000971700, EgrG_000971900	F586_ECG_G1	E. granulosus
EgrG_000714000, EgrG_000714050	F5207_ECG_G1	E. granulosus
EgrG_000883000, EgrG_000882800	F14142_ECG_G1	E. granulosus
EgrG_000657850, EgrG_000658600	F15300_ECG_G1	E. granulosus
EgrG_000414900, EgrG_000414600	F15322_ECG_G1	E. granulosus
EgrG_000949730, EgrG_000951100	F15389_ECG_G1	E. granulosus
EgrG_000950650, EgrG_000949740	F15390_ECG_G1	E. granulosus
EgrG_000061800, EgrG_000061900	F15406_ECG_G1	E. granulosus
EgrG_000525200, EgrG_000525000	F15421_ECG_G1	E. granulosus
EgrG_001143100, EgrG_001142800	F15506_ECG_G1	E. granulosus
EgrG_000690800, EgrG_000690200	F15531_ECG_G1	E. granulosus
EgrG_000690300, EgrG_000690700	F15532_ECG_G1	E. granulosus
EgrG_000054300, EgrG_000054270	F15733_ECG_G1	E. granulosus
EgrG_000679600, EgrG_000678900	F15766_ECG_G1	E. granulosus
EgrG_000743450, EgrG_000743400	F15789_ECG_G1	E. granulosus
EgrG_001089300, EgrG_001089400	F15808_ECG_G1	E. granulosus
EgrG_000139300, EgrG_000145000	F15818_ECG_G1	E. granulosus
EgrG_000157800, EgrG_000157200	F15824_ECG_G1	E. granulosus
EgrG_000295900, EgrG_000295600	F15842_ECG_G1	E. granulosus
EgrG_000176700, EgrG_000176600	F15869_ECG_G1	E. granulosus
EgrG_000176800, EgrG_000176500	F15870_ECG_G1	E. granulosus
EgrG_000168200, EgrG_000168100	F15877_ECG_G1	E. granulosus
EgrG_000134300, EgrG_000134800	F16500_ECG_G1	E. granulosus
EgrG_000739500, EgrG_000739600	F16875_ECG_G1	E. granulosus
EgrG_000661000, EgrG_000660800	F16889_ECG_G1	E. granulosus
EgrG_001110500, EgrG_001110600	F16992_ECG_G1	E. granulosus
EgrG_001155700, EgrG_001155600	F17747_ECG_G1	E. granulosus
EgrG_000557700, EgrG_000557800	F17776_ECG_G1	E. granulosus
EgrG_002027200, EgrG_002027400, EgrG_002026900	F17878_ECG_G1	E. granulosus
EgrG_002014700, EgrG_002014600	F18019_ECG_G1	E. granulosus
EgrG_000744700, EgrG_000744600	F18024_ECG_G1	E. granulosus
EgrG_000197800, EgrG_000197900	F18073_ECG_G1	E. granulosus
EgrG_000726700, EgrG_000726800	F18166_ECG_G1	E. granulosus
EgrG_000499300, EgrG_000499100	F18189_ECG_G1	E. granulosus
EgrG_001136200, EgrG_001135600	F18240_ECG_G1	E. granulosus
EgrG_000509100, EgrG_000508300	F18242_ECG_G1	E. granulosus
EgrG_001098200, EgrG_001098600	F18254_ECG_G1	E. granulosus
EgrG_002024400, EgrG_002034600	F18258_ECG_G1	E. granulosus
EgrG_000074800, EgrG_000074900	F18743_ECG_G1	E. granulosus
EgrG_000554100, EgrG_000269650	F18751_ECG_G1	E. granulosus
EgrG_000322800, EgrG_000323300	F19032_ECG_G1	E. granulosus
EgrG_000355500, EgrG_002030400	F19395_ECG_G1	E. granulosus
EgrG_000135600, EgrG_000135500	F19399_ECG_G1	E. granulosus
EgrG_002038100, EgrG_002038300	F19554_ECG_G1	E. granulosus
EgrG_000359300, EgrG_000359400	F19701_ECG_G1	E. granulosus
EgrG_001107200, EgrG_001108300	F19875_ECG_G1	E. granulosus
EgrG_000949780, EgrG_000950100	F19961_ECG_G1	E. granulosus
EgrG_000659200, EgrG_000659100	F20133_ECG_G1	E. granulosus
EgrG_002040000, EgrG_002039900	F20722_ECG_G1	E. granulosus
EgrG_000932100, EgrG_000932200	F20728_ECG_G1	E. granulosus
EgrG_002018600, EgrG_002018500	F20999_ECG_G1	E. granulosus
EgrG_001051600, EgrG_001051700	F21123_ECG_G1	E. granulosus
EgrG_002067000, EgrG_002064200	F21205_ECG_G1	E. granulosus
EgrG_002044500, EgrG_002044400	F21256_ECG_G1	E. granulosus
EgrG_002069000, EgrG_002068600	F21349_ECG_G1	E. granulosus
EgrG_002058400, EgrG_002063100	F21631_ECG_G1	E. granulosus
EgrG_002036000, EgrG_002035900	F21649_ECG_G1	E. granulosus
EgrG_002069300, EgrG_002069200	F21671_ECG_G1	E. granulosus
EgrG_002028100, EgrG_002029300	F21864_ECG_G1	E. granulosus
EgrG_002004900, EgrG_002053900	F21892_ECG_G1	E. granulosus
EgrG_002013800, EgrG_002014100	F22077_ECG_G1	E. granulosus
EgrG_000134600, EgrG_000134400	F22199_ECG_G1	E. granulosus
EgrG_002025200, EgrG_002025300	F22367_ECG_G1	E. granulosus
EgrG_002052800, EgrG_002053000	F22411_ECG_G1	E. granulosus
EgrG_000054350, EgrG_000056300	F22716_ECG_G1	E. granulosus
EgrG_000733450, EgrG_000733200	F23234_ECG_G1	E. granulosus
EgrG_000314700, EgrG_000314800	F23234_ECG_G2	E. granulosus
EgrG_002064100, EgrG_001202400, EgrG_000082400	F23234_ECG_G3	E. granulosus
EgrG_000949720, EgrG_000950700	F23592_ECG_G1	E. granulosus
EgrG_000575200, EgrG_000574600	F23615_ECG_G1	E. granulosus
EgrG_001032200, EgrG_001032250	F23903_ECG_G1	E. granulosus
EgrG_000949710, EgrG_000950800	F23910_ECG_G1	E. granulosus
EgrG_002034100, EgrG_000690100	F24048_ECG_G1	E. granulosus
EgrG_000654200, EgrG_000654600, EgrG_000654500	F24084_ECG_G1	E. granulosus
EgrG_000815400, EgrG_000815600	F24219_ECG_G1	E. granulosus
EgrG_000575600, EgrG_000574500	F24359_ECG_G1	E. granulosus
EgrG_000103400, EgrG_000103100	F24376_ECG_G1	E. granulosus
EgrG_000501100, EgrG_000501300	F24498_ECG_G1	E. granulosus
EgrG_000103500, EgrG_000103000	F24544_ECG_G1	E. granulosus
EgrG_001072700, EgrG_001072300	F24655_ECG_G1	E. granulosus
EmuJ_000971700, EmuJ_000971900	F586_ECM_G1	E. multilocularis
EmuJ_000828300, EmuJ_000828350	F1574_ECM_G1	E. multilocularis
EmuJ_001168100, EmuJ_001168200	F2254_ECM_G1	E. multilocularis
EmuJ_001002400, EmuJ_001004700	F12206_ECM_G1	E. multilocularis
EmuJ_001037200, EmuJ_001037500, EmuJ_001037800	F14636_ECM_G1	E. multilocularis
EmuJ_001037400, EmuJ_001037700	F14637_ECM_G1	E. multilocularis
EmuJ_000657850, EmuJ_000658600	F15300_ECM_G1	E. multilocularis
EmuJ_000520800, EmuJ_000521900	F15329_ECM_G1	E. multilocularis
EmuJ_000510500, EmuJ_000510600	F15356_ECM_G1	E. multilocularis
EmuJ_000606800, EmuJ_002146400	F15374_ECM_G1	E. multilocularis
EmuJ_000061800, EmuJ_000061900	F15406_ECM_G1	E. multilocularis
EmuJ_000525000, EmuJ_000525200, EmuJ_000525300	F15421_ECM_G1	E. multilocularis
EmuJ_000114800, EmuJ_000114900	F15468_ECM_G1	E. multilocularis
EmuJ_000192000, EmuJ_000192100	F15468_ECM_G2	E. multilocularis
EmuJ_000579600, EmuJ_002144700, EmuJ_001154600, EmuJ_001154700	F15502_ECM_G1	E. multilocularis
EmuJ_001142800, EmuJ_001143100	F15506_ECM_G1	E. multilocularis
EmuJ_000348400, EmuJ_000348800, EmuJ_000348500	F15512_ECM_G1	E. multilocularis
EmuJ_000690200, EmuJ_000690800	F15531_ECM_G1	E. multilocularis
